iter	Passed	Remaining
171	3953	19031
172	3974	19001
173	3997	18978
174	4019	18948
175	4041	18922
176	4062	18890
177	4084	18861
178	4108	18845
179	4131	18822
180	4154	18798
181	4177	18776
182	4201	18758
183	4225	18739
184	4247	18710
185	4269	18683
186	4291	18657
187	4312	18625
188	4334	18599
189	4361	18595
190	4383	18567
191	4410	18559
192	4430	18527
193	4453	18501
194	4475	18475
195	4496	18446
196	4519	18421
197	4541	18397
198	4563	18370
199	4594	18378
200	4616	18351
201	4640	18330
202	4660	18299
203	4681	18268
204	4704	18243
205	4724	18211
206	4749	18194
207	4769	18162
208	4791	18135
209	4815	18116
210	4837	18088
211	4858	18058
212	4879	18029
213	4900	17999
214	4923	17977
215	4947	17956
216	4971	17937
217	4993	17913
218	5015	17885
219	5038	17862
220	5059	17834
221	5081	17807
222	5104	17784
223	5125	17756
224	5151	17744
225	5174	17721
226	5195	17692
227	5218	17670
228	5242	17650
229	5264	17623
230	5289	17607
231	5312	17586
232	5334	17560
233	5355	17532
234	5376	17500
235	5398	17477
236	5419	17448
237	5441	17423
238	5463	17397
239	5485	17371
240	5506	17343
241	5528	17317
242	5553	17301
243	5575	17275
244	5596	17247
245	5619	17223
246	5641	17197
247	5663	17172
248	5687	17153
249	5711	17134
250	5733	17108
251	5754	17079
252	5774	17050
253	5797	17027
254	5817	16995
255	5838	16967
256	5860	16943
257	5882	16919
258	5903	16889
259	5925	16865
260	5947	16841
261	5971	16820
262	5992	16792
263	6015	16769
264	6037	16746
265	6060	16722
266	6081	16694
267	6103	16670
268	6127	16651
269	6147	16620
270	6169	16596
271	6192	16574
272	6216	16554
273	6240	16534
274	6265	16517
275	6287	16494
276	6312	16475
277	6334	16451
278	6362	16441
279	6386	16421
280	6407	16395
281	6429	16370
282	6450	16342
283	6472	16317
284	6495	16296
285	6516	16269
286	6538	16242
287	6564	16227
288	6585	16201
289	6610	16185
290	6632	16159
291	6654	16135
292	6679	16117
293	6700	16090
294	6722	16066
295	6746	16045
296	6768	16020
297	6792	16000
298	6816	15980
299	6841	15963
300	6861	15933
301	6883	15909
302	6908	15892
303	6929	15864
304	6951	15841
305	6974	15818
306	6995	15790
307	7017	15766
308	7040	15743
309	7061	15718
310	7084	15695
311	7106	15670
312	7128	15646
313	7152	15626
314	7174	15601
315	7196	15576
316	7221	15559
317	7245	15538
318	7268	15517
319	7289	15489
320	7313	15469
321	7336	15448
322	7359	15425
323	7385	15408
324	7407	15385
325	7429	15360
326	7451	15336
327	7472	15309
328	7496	15288
329	7518	15265
330	7541	15241
331	7568	15227
332	7588	15200
333	7609	15173
334	7634	15154
335	7656	15130
336	7680	15109
337	7702	15085
338	7723	15060
339	7747	15038
340	7768	15013
341	7789	14985
342	7812	14963
343	7834	14940
344	7855	14914
345	7878	14891
346	7900	14867
347	7922	14843
348	7945	14821
349	7968	14798
350	7991	14777
351	8013	14752
352	8036	14729
353	8058	14706
354	8080	14680
355	8103	14658
356	8126	14636
357	8146	14609
358	8167	14583
359	8189	14558
360	8211	14535
361	8233	14510
362	8258	14491
363	8279	14465
364	8300	14441
365	8325	14421
366	8349	14401
367	8377	14387
368	8399	14362
369	8422	14340
370	8444	14316
371	8465	14291
372	8488	14269
373	8511	14247
374	8538	14230
375	8562	14209
376	8586	14190
377	8609	14167
378	8633	14146
379	8656	14123
380	8679	14102
381	8703	14080
382	8727	14060
383	8752	14040
384	8774	14016
385	8797	13994
386	8821	13973
387	8846	13953
388	8870	13932
389	8892	13908
390	8915	13885
391	8937	13861
392	8957	13834
393	8977	13807
394	8999	13784
395	9023	13762
396	9044	13736
397	9065	13711
398	9087	13688
399	9109	13664
400	9132	13641
401	9154	13617
402	9176	13594
